32768,163825,12593,12579,12579,12593,13494,6.83594,151.287,11111
65536,327665,25117,25090,25090,25117,26939,12.207,188.849,11111
131072,655345,50115,50059,50059,50115,53819,22.8359,272.948,11111
262144,1310705,100352,100241,100241,100352,107771,44.0859,499.334,11111
524288,2621425,200750,200579,200579,200750,215659,86.5859,990.333,11111
1048576,5242865,401670,401357,401357,401670,431645,139.586,2075.67,11111
